flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
ANE8692, BOMBARDIER CRJ-1000,,-,BILBAO,BIO,-,-,,,-,,,2018-04-15,12:10,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 12:06,11,21,Despejado,NT,6,2018-04-15 13:39:14,,2018-04-15 12:10:00,
ANE8365, CANADAIR CRJ-200,,-,SANTIAGO,SCQ,-,-,,,-,,,2018-04-15,11:45,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 11:50,11,21,Despejado,NT,6,2018-04-15 13:39:07,,2018-04-15 11:45:00,
IBE8482, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,11:20,MENORCA,MAH,1,El vuelo ha aterrizado a las 11:08,12,20,Despejado,1,4,2018-04-15 12:36:53,,2018-04-15 11:20:00,
IBE8106, ATR-42/72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,11:25,IBIZA,IBZ,1,El vuelo ha aterrizado a las 11:20,12,20,Despejado,02,1,2018-04-15 12:36:53,,2018-04-15 11:25:00,
IBE2244, ATR-42/72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-15,17:30,LA GOMERA,GMZ,-,Llegada prevista a las 17:30,18,24,Abertura de claros, - ,,2018-04-15 12:36:19,,2018-04-15 17:30:00,
ANE8105, CANADAIR CRJ-900,,-,IBIZA,IBZ,-,-,,,-,,,2018-04-15,10:15,PALMA DE MALLORCA,PMI,-,Cancelado,11,21,Nubes altas, - ,,2018-04-15 11:33:03,,2018-04-15 10:15:00,
IBE2202, ATR-72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-15,09:30,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 09:42,17,23,Cubierto de nubes altas y medias,01,12,2018-04-15 11:32:28,,2018-04-15 09:30:00,
IBE8496, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,21:35,MENORCA,MAH,1,Llegada prevista a las 21:35,12,20,Abertura de claros,1,4,2018-04-15 11:32:27,,2018-04-15 21:35:00,
IBE8492, ATR-42/72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,20:30,MENORCA,MAH,1,Llegada prevista a las 20:30,12,20,Abertura de claros,1,6,2018-04-15 11:32:26,,2018-04-15 20:30:00,
ANE8483, BOMBARDIER CRJ-1000,,-,MENORCA,MAH,-,-,,,-,,,2018-04-15,10:05,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 09:54,11,21,Nubes altas,NT,11,2018-04-15 11:32:24,,2018-04-15 10:05:00,
