flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
BAW2721, AIRBUS A320,2018-04-13,23:35,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 23:24,11,21,Despejado,,,,-,LONDRES /GATWICK,LGW,-,-,,,-,-,,2018-04-14 01:19:23,2018-04-13 23:35:00,,
EZY6046, 32A,2018-04-13,23:35,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 23:46,11,15,Lluvia,,,,-,BRISTOL,BRS,-,-,,,-,-,,2018-04-14 01:19:22,2018-04-13 23:35:00,,
EIN575, AIRBUS A320,2018-04-13,23:30,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 00:00,10,22,Nubes altas,,,,-,DUBLIN,DUB,-,-,,,-,-,,2018-04-14 01:19:22,2018-04-13 23:30:00,,
TAM8065, BOEING 777-300ER,2018-04-13,23:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 23:37,5,17,Nubes altas,,,,-,SAO PAULO /GUARULHOS,GRU,-,-,,,-,-,,2018-04-14 01:19:22,2018-04-13 23:35:00,,
AFL2529, BOEING 737-800 WINGLETS,2018-04-13,23:25,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 23:17,11,21,Despejado,,,,-,MOSCU /SHEREMETYEVO,SVO,-,-,,,-,-,,2018-04-14 01:19:21,2018-04-13 23:25:00,,
TAP1009, EMBRAER 190,2018-04-13,23:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 23:25,5,17,Nubes altas,,,,-,OPORTO,OPO,-,-,,,-,-,,2018-04-14 01:19:21,2018-04-13 23:05:00,,
LLX5052, AIRBUS A321,2018-04-13,12:45,GRAN CANARIA,LPA,1,Llegada prevista a las 12:00,17,21,Nubes altas,1,2,,-,LANZAROTE,ACE,-,-,,,-,-,,2018-04-14 01:19:21,2018-04-13 12:45:00,,
EZY6420, AIRBUS A319,2018-04-13,23:25,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 23:25,10,22,Nubes altas,,,,-,NEWCASTLE,NCL,-,-,,,-,-,,2018-04-14 01:19:21,2018-04-13 23:25:00,,
EWG5861, 32A,2018-04-14,07:55,IBIZA,IBZ,1,Salida prevista a las 07:55,13,17,Chubascos dispersos,,2,,-,VIENA,VIE,-,-,,,-,-,,2018-04-14 00:18:48,2018-04-14 07:55:00,,
IBE8101, BOMBARDIER CRJ-1000,2018-04-14,07:00,IBIZA,IBZ,1,Salida prevista a las 09:45,13,17,Chubascos dispersos,,5,,-,PALMA DE MALLORCA,PMI,-,-,,,-,-,,2018-04-14 00:18:40,2018-04-14 07:00:00,,
